Prime Delay,Print Speed,X Offset Correction,Y Offset Correction,Score
0,1,0,0,0.339554
2.5,3,0.1,,0
5,5,-0.1,-0.1,0.218576
0,0.999931323,5.54E-06,2.52E-05,0.368919
0,5.070132864,0.225150933,1,0
0,0.477297834,0.04098728,0.191860936,0.142527
0.037130035,0.893927306,-0.035154338,0.04794658,0.420117
1.320466175,0.876729199,-1,0.365728896,0
0,8.30943536,-1,0.051005166,0
4.154109762,0.700993538,-1,0.029316768,0
0,1.350343868,-1,0.081764165,0
0.159317802,,-0.200398219,0.029134653,0.699507
0,0.1,-0.263441407,-1,0.444846
0,6.325758975,-0.222747125,1,0.276438
0,0.1,-0.153953164,-0.633831044,-0.521209
0,0.1,-0.383306816,-0.025953018,0.529015
0,8.017935076,-0.247280484,-0.215020933,0.368797
3.135016374,0.1,-0.286119834,0.242018176,0.231671
5,10,1,-1,0
0,0.1,1,1,0
0,0.1,-0.562307821,-1,0.55386
3.836204454,0.1,-0.515315555,-1,0.606331
3.981643012,9.515406916,-0.578467663,-1,0.590437
5,1.77011634,-0.734004069,-1,0.397736
5,8.563211249,-0.357116099,-1,0.665694
5,0.1,-0.225013889,-1,0.544579
5,10,-0.03037432,-1,0.394429
,10,-0.459455051,-1,0.246653
5,6.463819981,-0.471807741,-0.56396988,0.528122
0,0.1,0.549188119,-1,0
3.270200002,4.423433841,-0.374321393,-1,0.669569
5,4.545758033,-0.454060731,-1,0.638409
5,10,1,1,0
5,10,-1,-1,0
5,10,-0.631321514,1,0
2.216058263,0.1,-0.351728777,-0.628832171,0.557771
2.568442889,4.128176512,-0.555356944,-1,0.553297
3.485758382,5.921041073,-0.220503744,-1,0.619629
0,0.1,-0.227008754,-0.203180401,0.506045
5,10,-0.392564219,-1,0.641716
5,5.100814558,-0.323019596,-1,
3.580209894,7.858465599,-0.379159846,-1,0.658964
5,0.1,-0.42326762,-1,0.47378
5,7.421528607,-0.46970392,-1,0.625649
3.704389712,10,-0.316697247,-1,0.644678
2.666170048,3.404372752,-0.323335094,-1,0.655095
3.793363821,6.321410667,-0.391116557,-1,0.645276
0,10,0.069650601,-1,0.225159
5,7.361323026,-0.290247848,-1,0.581536
2.138411123,0.1,-0.46469562,-1,0.427846
3.555925442,6.567725414,-0.409295679,-1,0.687847
5,10,-0.453750649,-1,0.649364
0,0.1,-0.399771583,1,0.23795
1.723971629,4.127795611,-0.317563966,-0.557834728,0.673479
0,3.166857813,-0.31510984,-0.347626202,0.691636
1.452060715,4.755510342,-0.276418111,-1,0.6771
0,3.355609427,-0.266558489,-0.441226868,696129
0,10,1,-1,0
0.991507301,3.374281222,-0.258724474,-0.400535608,0.65301
3.836204454,0.1,-0.515315555,-1,0.606331
0,3.403912672,-0.39608221,-0.569370559,0.681477
5,0.1,1,-1,0.085345
0,4.074459554,-0.320553798,-1,0.456972
1.078526093,3.809288033,-0.406115714,-0.299587017,0.624609
0,3.179026659,-0.299133297,-0.07961219,0.724231
0,3.19738197,-0.293036821,-0.057746921,0.725884
0,3.17750185,-0.27157315,-0.063868507,0.746997
0,3.222519665,-0.244475416,-0.074529296,0.757861
0,3.296372494,-0.223819617,-0.092455882,0.73516
0,3.276032393,-0.294808743,0.083334502,0.727446
0,3.271360864,-0.215097596,-0.106963778,0.775094
0,3.313607155,-0.213103103,,0.735191
2.559151299,2.747723276,-0.123465174,-1,0.558344
0,3.295163374,-0.201049723,-0.188737994,0.760199
0,3.321199668,-0.195937105,-0.187030775,0.741053
0,3.04339056,-0.221664458,0.085762614,0.733492
0.615535018,3.123837379,-0.23008989,-0.096321438,0.65512
5,0.1,0.196547731,-1,0.05735
0,0.1,-0.837284029,-1,0.13848
0,3.410189478,-0.182024517,-0.226603174,0.595148
0,3.383658905,-0.317137057,0.00792076,0.68768
0,2.590313222,-0.273631503,-0.128822762,0.797176
0,2.521505976,-0.278407762,-0.147367367,0.825486
0,,-0.286077685,-0.171964491,0.839722
0,2.325883942,-0.294651346,-0.195062378,0.832971
0,2.221500067,-0.301345289,-0.211940111,0.857797
0,2.019113004,-0.310327554,-0.236066774,0.87748
0,1.827157601,-0.348561106,-0.27565965,0.904846
0,1.80847724,-0.412629308,-0.253730723,0.899917
0,1.880113634,-0.44461981,-0.111643532,0.820774
0,1.673653336,-0.372916521,-0.463324746,0.932613
0,1.663150494,-0.389967799,-0.557219105,0.902128
0,4.334235765,1,-1,0
0,1.690003046,-0.414789879,-0.56390241,0.869142
0,1.595660205,-0.32064382,-0.430844373,0.88388
0,10,0.26780482,1,0
0.742365236,1.714609821,-0.380317157,-0.416497064,0.829756
0,1.585934347,-0.337142578,-0.372810658,0.92212
0,1.568030435,-0.335315758,-0.365804076,0.901296
0,3.410189478,-0.182024517,-0.226603174,0.595148
0,1.55882615,-0.349834168,-0.328645365,0.936549
5,3.837488349,1,1,0
