Filename,CIF,Compound,Number of atoms,Execution time (s),Total_time (s)
250977.cif,250977,ErNi3,699,32.792,32.792
250476.cif,250476,EuPb3,113,0.953,33.746
250804.cif,250804,La0.75Pt2.25,974,62.688,96.434
250191.cif,250191,Mo3Pt,213,2.88,99.314
250966.cif,250966,Pd3.25In9.75,900,56.599,155.913
250368.cif,250368,EuSn3,113,1.043,156.956
250367.cif,250367,SmSn3,113,0.871,157.827
250931.cif,250931,YbPd3,113,0.886,158.713
250562.cif,250562,WRh3,313,5.742,164.455
250461.cif,250461,GdCo3,699,31.937,196.392
250742.cif,250742,V3Ir,213,2.726,199.118
250910.cif,250910,Pr0.25Tb0.75,136,1.268,200.386
250381.cif,250381,HoIn3,113,0.893,201.279
250377.cif,250377,SmIn3,113,0.861,202.14
250384.cif,250384,YbIn3,113,0.842,202.982
250505.cif,250505,PrAl3,313,5.717,208.699
250338.cif,250338,ErPd3,113,0.865,209.564
250807.cif,250807,Eu0.75Pt2.25,974,62.87,272.434
250808.cif,250808,Gd0.75Pt2.25,974,63.948,336.382
250365.cif,250365,PrSn3,113,1.205,337.587
250364.cif,250364,CeSn3,113,0.849,338.436
250809.cif,250809,DyPt3,113,0.848,339.284
250507.cif,250507,LaAl3,313,5.735,345.019
250363.cif,250363,LaSn3,113,0.868,345.888
250963.cif,250963,Pt3In,113,0.841,346.729
250504.cif,250504,NdAl3,313,5.737,352.466
250737.cif,250737,TaNi3,187,2.41,354.876
250333.cif,250333,EuPd3,113,0.902,355.778
250370.cif,250370,YbSn3,113,0.837,356.615
250717.cif,250717,TbAl3,747,36.337,392.953
250765.cif,250765,SmCo3,699,32.32,425.273
250462.cif,250462,GdNi3,699,32.422,457.695
250735.cif,250735,NbNi3,187,2.541,460.235
250469.cif,250469,YbIn3,113,0.9,461.136
250329.cif,250329,CePd3,113,0.839,461.975
250893.cif,250893,PrPd3,113,0.859,462.835
250330.cif,250330,PrPd3,113,0.89,463.724
250679.cif,250679,EuPb3,113,0.85,464.574
250753.cif,250753,Au3Ho,187,2.428,467.002
250755.cif,250755,Au3Yb,187,2.431,469.434
250805.cif,250805,Pr0.75Pt2.25,974,62.227,531.661
250378.cif,250378,GdIn3,113,1.12,532.781
250223.cif,250223,Nb0.25Ru0.75,136,1.296,534.077
250373.cif,250373,LaIn3,113,0.863,534.94
250525.cif,250525,TiNi3,479,15.325,550.265
250763.cif,250763,Sm3Co,272,5.123,555.388
250811.cif,250811,Ce0.75Pt2.25,974,62.913,618.301
250380.cif,250380,DyIn3,113,1.126,619.426
250464.cif,250464,YCo3,699,31.92,651.347
250101.cif,250101,TmAl3,113,0.965,652.312
250668.cif,250668,La3Co,272,4.938,657.25
250648.cif,250648,LuPt3,113,0.88,658.13
250564.cif,250564,MoRh3,313,5.805,663.934
250022.cif,250022,Nb0.25Re0.75,1740,224.169,888.104
250379.cif,250379,TbIn3,113,1.712,889.816
250399.cif,250399,V3Ga,213,2.535,892.351
250628.cif,250628,Nb0.75Co2.25,703,35.71,928.061
250477.cif,250477,YbPb3,113,0.994,929.054
250503.cif,250503,GdAl3,313,5.859,934.914
250733.cif,250733,Ta0.25Ni0.75,136,1.312,936.226
250693.cif,250693,CePd3,113,0.861,937.087
250186.cif,250186,Mo0.25Pt0.75,60,0.404,937.491
250236.cif,250236,Nb3Sn,213,2.525,940.016
250740.cif,250740,VIr3,113,0.914,940.93
250366.cif,250366,NdSn3,113,0.853,941.783
250374.cif,250374,CeIn3,113,0.84,942.623
250383.cif,250383,TmIn3,113,0.892,943.515
250335.cif,250335,TbPd3,113,0.844,944.359
250647.cif,250647,YbPt3,113,0.846,945.205
250225.cif,250225,MoNi3,187,2.447,947.651
250331.cif,250331,NdPd3,113,0.852,948.504
250382.cif,250382,ErIn3,113,0.886,949.389
250506.cif,250506,CeAl3,313,5.708,955.097
250650.cif,250650,CePd3,113,0.917,956.015
250530.cif,250530,NbNi3,187,2.424,958.439
250065.cif,250065,Mo3Os,213,2.498,960.937
250891.cif,250891,LaPd3,113,0.902,961.838
250339.cif,250339,YbPd3,113,0.845,962.684
250410.cif,250410,GdAl3,313,5.777,968.461
250463.cif,250463,YFe3,699,31.865,1000.326
250394.cif,250394,YCo3,699,32.249,1032.575
250385.cif,250385,LuIn3,113,0.986,1033.561
250328.cif,250328,LaPd3,113,0.853,1034.414
250653.cif,250653,YbPd3,113,0.912,1035.326
250810.cif,250810,TbPt3,113,0.864,1036.19
250527.cif,250527,LaPb3,113,0.882,1037.073
250554.cif,250554,Y0.25Ce0.75,196,2.733,1039.805
250460.cif,250460,GdFe3,699,31.665,1071.47
250561.cif,250561,WIr3,313,5.98,1077.45
250907.cif,250907,Ce0.25Tb0.75,136,1.34,1078.79
250894.cif,250894,YPd3,113,0.836,1079.626
250718.cif,250718,GdAl3,313,5.768,1085.394
250962.cif,250962,Pt3Sn,113,0.865,1086.259
250332.cif,250332,SmPd3,113,0.84,1087.099
250649.cif,250649,ScPt3,113,0.847,1087.946
250563.cif,250563,MoIr3,313,5.722,1093.668
250375.cif,250375,PrIn3,113,0.86,1094.528
250754.cif,250754,Au3Er,187,2.423,1096.951
250340.cif,250340,LuPd3,113,0.851,1097.802
250892.cif,250892,CePd3,113,0.897,1098.699
250806.cif,250806,Nd0.75Pt2.25,974,62.187,1160.886
250404.cif,250404,NdAl3,313,6.199,1167.085
250934.cif,250934,Pd3Sn,113,0.909,1167.994
250652.cif,250652,Pd3Sn,113,0.856,1168.851
250376.cif,250376,NdIn3,113,0.904,1169.755
250651.cif,250651,GdPd3,113,0.863,1170.618
250468.cif,250468,SmIn3,113,0.839,1171.457
250334.cif,250334,GdPd3,113,0.861,1172.318
250920.cif,250920,HoFe3,699,31.83,1204.148
250751.cif,250751,Au3Gd,187,2.512,1206.66
250411.cif,250411,Nd3Al,313,5.756,1212.416
250465.cif,250465,YNi3,699,31.71,1244.126
250508.cif,250508,ErAl3,113,0.934,1245.06
250369.cif,250369,GdSn3,113,0.838,1245.899
250959.cif,250959,Pd0.75In0.25,60,0.404,1246.303
250752.cif,250752,Au3Dy,187,2.411,1248.714
250502.cif,250502,YAl3,747,35.843,1284.557
250337.cif,250337,HoPd3,113,0.965,1285.522
250336.cif,250336,DyPd3,113,0.836,1286.358
250125.cif,250125,MoCo3,313,5.729,1292.087
250390.cif,250390,Mo3Os,213,2.536,1294.623
250372.cif,250372,YIn3,113,0.864,1295.488
250654.cif,250654,YbIn3,113,0.834,1296.322
250646.cif,250646,TmPt3,113,0.834,1297.156
